Unix,open,high,low,close,volume
1724630340,64325.66,64453.99,64200,64400,21058654.691620402
1724629440,64395.83,64804.13,64250.21,64751,32978983.455656394
1724628540,64907,65000,64513,64834.01,39686480.4284802
1724627640,64856,64864,64460,64503.99,19864132.7750151
1724626740,64496.01,64500,64364,64450,4690405.1637451
1724625840,64418.01,64456,64340.2,64344,5523083.9594008
1724624940,64355,64616,64345.98,64603.18,10000674.2453214
1724624040,64580,64600,64279.12,64454.99,14721732.555204099
1724623140,64397.01,64415,64301.05,64302.98,4049497.2538618003
1724622240,64320,64546.98,64292.35,64535.99,10567185.6800899
1724621340,64478.53,64572,64321.98,64332,28285804.929046903
1724620440,64311.99,64364.9,64206.99,64220,8503600.9306877
1724619540,64205.3,64262.89,64199,64210.99,4136266.4136011004
1724618640,64199,64206.21,64128.48,64132.99,3636215.0302466997
1724617740,64141,64227,64122.49,64224,3829532.6897289
1724616840,64213,64264,64183.99,64187.27,4886064.0560427
1724615940,64187.41,64191,64162.99,64165,2257613.3324554
1724615040,64162.99,64177.75,64145.13,64152,1831827.5438399
1724614140,64148.12,64204.99,64148,64185.02,3115791.7387899007
1724613240,64195,64210.05,64166.99,64174.99,3290345.3538904996
1724612340,64166.99,64248.66,64115.38,64224.28,5536714.105861099
1724611440,64219,64246.96,64105.99,64106,7106311.3515666
1724610540,64105.99,64133,64076.49,64076.49,3041899.1654333
1724609640,64076.5,64145,64065.25,64137.03,4370746.6221408
1724608740,64134.99,64155,64115.05,64145.99,4876591.596712301
1724607840,64145.13,64162.94,64045.01,64048.39,5729614.408891999
1724606940,64041,64112.02,64041,64106.02,3100447.848514799
1724606040,64117.16,64130,64024,64030.65,6204308.924071701
1724605140,64037.99,64064,64013,64059.21,4907329.477428001
1724604240,64027,64121.83,64000,64063.99,6107511.0584595
1724603340,64091.98,64175,64063,64144.27,4822899.470200799
1724602440,64104.97,64201,64104.97,64119,5427964.3018713
1724601540,64136.13,64160.01,64086,64148,5525643.2454789
1724600640,64163,64241,64093,64214.01,6147284.8031826
1724599740,64263,64288,64200.92,64235,7743964.822857501
1724598840,64201,64233,64115.14,64129.02,5217086.718412201
1724597940,64150.11,64242,64115.24,64229.65,5839896.497403299
1724597040,64201.76,64251,64115.13,64130,11913481.9710277
1724596140,64129,64205.88,64094,64170.99,9028806.117185598
1724595240,64148.01,64198.07,64082.02,64091.33,10712832.310499098
1724594340,64098,64103.04,63981.5,64000.99,4279688.8198063
1724593440,64041.99,64167,63990.99,64087.44,10356836.0406117
1724592540,64094,64115.05,63885.02,63885.03,15206099.569459999
1724591640,63882.99,63952,63851.34,63925.09,9463357.997096898
1724590740,63923.99,63940,63897.86,63909.01,2997366.6260152003
1724589840,63912.99,63918,63820,63849.99,4586510.3953109
1724588940,63837.01,63900,63805,63893.01,5666490.9967754
1724588040,63878.51,63919,63873.91,63880,2848821.0676177004
1724587140,63872.39,63949.89,63870.73,63896.2,5962002.7343688
1724586240,63906.02,64009.83,63899.99,63981.82,12511757.5168597
1724585340,63971.01,63981,63923.73,63974,4818422.775045601
1724584440,63969,63979,63881.01,63908.87,5300668.5277027
1724583540,63881.02,63881.02,63810.73,63833.1,6010961.040813
1724582640,63810.73,63909.94,63809,63878,5754473.7080737
1724581740,63870.01,63932,63870,63890.9,4240385.7660307
1724580840,63861,63884,63787.5,63861.3,7505328.156607801
1724579940,63861.3,63885,63832,63879,3212336.0077625997
1724579040,63900,63917.63,63773.27,63796.5,12130859.244996697
1724578140,63814.17,63911,63784.38,63889.01,10609084.869842397
1724577240,63887.49,63978,63865.01,63956.22,7117858.4217379
1724576340,63923.19,63956.23,63916.3,63943.39,3500181.8806898
1724575440,63956.23,64010,63940.68,63999.13,5258372.9594147
1724574540,63981.99,63994.7,63890.89,63964,7236347.7468183
1724573640,63891.44,63946.98,63806,63855.3,9277989.5977703
1724572740,63859.01,63896,63785.76,63832.99,9707608.8128423
1724571840,63814.42,63979,63807.19,63931,11711018.939211601
1724570940,63979,64038,63825.99,63913.99,11712905.103739299
1724570040,63926,63994,63878.69,63984,10035287.721684
1724569140,63977.7,64050,63976.82,64012.01,5507217.6818716
1724568240,64019.99,64096,63995,64054,5083738.578875099
1724567340,64057,64105.01,64057,64080.01,4289809.8578119995
1724566440,64105,64163.64,64039,64135.8,6308237.6923311
1724565540,64126.99,64147,64100.01,64131,6088226.8496820005
1724564640,64141,64182,64135,64160.09,5077415.093684
1724563740,64176.8,64196,64132.52,64170,5698360.6856798
1724562840,64188.99,64189,64150.21,64150.22,3600858.9566808008
1724561940,64138.99,64161,64125.33,64140.99,3036709.9450155
1724561040,64115.04,64135,64040.17,64053.47,5141683.8355422
1724560140,64065.99,64078.81,64000,64025,3475513.3641366
1724559240,64023.47,64122.99,64014,64102.01,8856121.293748
1724558340,64098,64129.95,64000,64003.6,20080626.544225898
1724557440,64008.23,64097.01,64000,64080.97,6453505.0739304
1724556540,64096.93,64148.64,64081,64145.13,3700200.5894581
1724555640,64151.43,64170,64094.03,64136.99,3733907.6818802
1724554740,64129.11,64219,64112.11,64193.6,7655292.546102101
1724553840,64223,64269,64218,64243,4459184.8132918
1724552940,64245.99,64246,64135.96,64154.99,3999677.4509353996
1724552040,64199,64214.01,64102.5,64133.33,5885013.5313109
1724551140,64159.77,64205.31,64058,64119,9538890.241029799
1724550240,64122.92,64283.99,64042.42,64239,16603908.058308003
1724549340,64273.01,64366,64235.5,64271.7,5520969.411246599
1724548440,64304.99,64376.69,64175.98,64236.89,6698992.2150022
1724547540,64170.29,64267,64107.16,64257,9977684.6251857
1724546640,64261,64393,64232,64366.71,6415852.6477696
1724545740,64360.99,64433,64275.99,64276,13627296.9053455
1724544840,64255.01,64507.04,64127,64137.2,43234493.490777194
1724543940,64146,64163.62,63935.99,63944.78,7901387.682014499
1724543040,63940,63973.68,63907.06,63909,3747580.3820028007
1724542140,63903.5,63964,63895.93,63930.01,3541542.3646921003
1724541240,63941.99,63942,63796.41,63833.29,5415412.876616599
1724540340,63892,63951.91,63833.98,63946.07,7031054.8502295
1724539440,63959.99,63991.4,63757,63757.01,8028906.771635099
1724538540,63756,64000,63625.35,63626.97,16089503.544244498
1724537640,63673.75,63795,63570,63733,20261146.0771643
1724536740,63561.86,63972.58,63531,63918.01,19969347.2281474
1724535840,63922.6,64048.39,63755,63948.72,16045215.8601053
1724534940,63919.99,64172.01,63910.01,64081.49,7988563.0621141
1724534040,64043.82,64131,63943.51,64037.23,14763995.163342398
1724533140,64146.01,64190.99,64131,64153.64,3899572.432011
1724532240,64205.3,64270,64173.87,64254.99,3596247.9961038
1724531340,64275,64328,64123.77,64191.01,11232551.825648598
1724530440,64200,64237,64189.72,64195.35,3614965.8198845005
1724529540,64219.01,64305,64210.6,64276.01,3284503.9648567
1724528640,64281.99,64372,64276,64339.01,5023373.569456
1724527740,64327.72,64345.46,64242,64291,3386745.1920074997
1724526840,64249.69,64291.55,64218,64227.99,3635287.090268701
1724525940,64238.99,64263,64168,64210.15,4534659.8936944995
1724525040,64160,64444,64089,64437.99,16543419.310474401
1724524140,64388.01,64411.81,63938,63979.99,33245200.3900579
1724523240,63963.99,64065,63946,64021,8589213.405380698
1724522340,63999.52,64160.28,63951.97,64106.52,10897060.537372699
1724521440,64125.99,64195,64076,64077.01,10315568.1921275
1724520540,64102.59,64290.44,64058.82,64220,12344317.5550647
1724519640,64220,64298.01,64174.27,64287,7893207.2605686
1724518740,64275.01,64311.97,64121,64171.99,8835688.3046491
1724517840,64213,64413.01,64166.33,64271.7,21849828.065375403
1724516940,64249.93,64352,63977.71,63986.81,16748105.534115298
1724516040,63970,64094,63903.58,63981.99,17430029.3817993
1724515140,63968,63996.71,63909.99,63983.01,9789088.866217
1724514240,63957.99,64069,63872,63969.49,11905879.247674802
1724513340,64029,64133.34,63995,64063.6,7991940.3117318
1724512440,64082.99,64171.84,64053.07,64139.99,6900890.070982601
1724511540,64159.99,64172.59,64117.37,64128.08,5322141.703257601
1724510640,64126.17,64210.92,64126.17,64154.99,4708967.3066731
1724509740,64208,64228.89,64013.03,64103.03,11120771.480009202
1724508840,64125.14,64221.5,64115.85,64194.51,6787700.7432074
1724507940,64175,64221.5,64076.18,64157.76,10936740.5533632
1724507040,64128.47,64244,64120.31,64193.93,9903799.5212342
1724506140,64192.03,64200,64100.44,64162.99,8540826.1333305
1724505240,64114.61,64158,63961.25,64100.45,9936311.503989002
1724504340,64086.99,64171.5,64034.65,64143.32,6512845.4800184
1724503440,64152.99,64179.86,64100,64137.99,6909509.14741
1724502540,64164.52,64180,64032.36,64108.8,16056010.235661998
1724501640,64094,64131,63902,63930.87,13710604.014720902
1724500740,63926.36,64070,63868,63959.99,14809648.528821202
1724499840,64034.2,64175,63980.77,64078.4,14654551.9696406
1724498940,64078.01,64175.95,64074.41,64146.07,8453530.862726001
1724498040,64175.99,64186.67,64111.99,64120.99,7233118.1720613
1724497140,64119.86,64265,64098,64264.98,10942550.955254601
1724496240,64216.64,64300.63,64212.86,64267.75,9153349.5898693
1724495340,64308,64337,64273.58,64302.32,6080890.4511450995
1724494440,64276.87,64382.36,64265.64,64310,10517412.315271901
1724493540,64340,64375,64206.48,64240.36,10407966.756799698
1724492640,64263.99,64338,64240.36,64337.98,3812908.8883699
1724491740,64336.1,64342.61,64200,64240.02,6766858.003329399
1724490840,64240.01,64494.5,64240,64430.01,13125283.6619133
1724489940,64321.34,64450.63,64223.42,64234.8,15666783.5239648
1724489040,64241,64259.83,64144.5,64144.51,5930021.3720962
1724488140,64160,64218,64159.64,64173.63,3522657.6804185994
1724487240,64175.2,64315.01,64163.92,64237.99,10335598.164429102
1724486340,64288.21,64332,64187.51,64263.96,18065744.8542119
1724485440,64275.98,64284.85,64172.51,64233,10490600.2692298
1724484540,64212.91,64221.24,64144.71,64175.99,5330246.482519
1724483640,64190.52,64211.78,64048,64051.75,10235732.465094902
1724482740,64067.96,64197.39,64010.3,64175.22,18210446.907370802
1724481840,64200.17,64277.43,63949.29,63952.26,35150788.6040134
1724480940,63966,64000,63924.56,63935.6,9294982.90139
1724480040,63943.45,63988.01,63934.37,63954.05,6448361.8317004
1724479140,63994.69,63997.5,63885.92,63968.93,9196318.656371798
1724478240,63935.53,63996.17,63885.14,63977.29,8200870.6749995
1724477340,63984.75,64032.95,63901.06,63922.67,17453743.052006
1724476440,63917.09,63943.63,63860.61,63881.57,7712895.181537
1724475540,63897.6,63952,63896.01,63918.01,4488373.5658162
1724474640,63963.99,63983.55,63878.77,63912.52,7019070.0703554
1724473740,63920.1,63983.04,63914.77,63977.92,6835688.145110601
1724472840,63986,63986,63822,63853.99,8003976.4262629
1724471940,63843.88,63852.94,63759.01,63817.97,10913550.7475342
1724471040,63804.11,63942.4,63773.92,63900,20499686.861254
1724470140,63875.19,63955.95,63800,63947.99,14595432.418768499
1724469240,63976,63990,63920.09,63944.01,8509728.543782
1724468340,63964.61,63964.61,63863.66,63927.99,8067047.150848901
1724467440,63879.91,63913.19,63845.12,63871.99,6917070.546176401
1724466540,63910.38,64000,63847,63906.5,9321705.5229416
1724465640,63895.55,63921.22,63788.8,63808.61,7188814.360590699
1724464740,63828.01,63871.5,63626.58,63655.99,12529086.394791901
1724463840,63681.78,63797.99,63634,63784.2,10192374.2060195
1724462940,63789.87,63906.94,63703.5,63900.49,13126518.1703397
1724462040,63871.45,64006.4,63850,63988.24,12284403.0340027
1724461140,63946.96,64113,63929.66,63958.39,11224685.7625026
1724460240,63969.91,64050,63828.77,63908.28,12437593.3559287
1724459340,63854.02,64021.85,63816.05,63936.35,20341373.1628867
1724458440,63931.43,64206.7,63928,64077.07,17725903.6187007
1724457540,64056.42,64111.99,63836.69,64078.02,32843171.5942639
1724456640,64051.98,64117.37,64031.91,64082.13,15907953.760444
1724455740,64029.98,64318.93,64014.36,64163.97,45387707.0863797
1724454840,64150.01,64258.6,64084.95,64152,17142326.326293103
1724453940,64112.84,64567.37,63850,64525.62,38298894.1020508
1724453040,64551.54,64955,64527.27,64579.68,38641973.09922599
1724452140,64635.99,64676.42,64277.88,64329.63,28047893.496423196
1724451240,64350.2,64476.11,64300,64420,22718365.8623346
1724450340,64394.38,64410.4,64203.69,64210.78,17597899.3845461
1724449440,64345.45,64500,64252.03,64315.38,29925341.5614367
1724448540,64222.15,64777,63664.61,63710,107978746.5095416
1724447640,63693.8,63723.9,63598.96,63655,15352713.5627359
1724446740,63629.01,63678.79,63555.45,63600,14738015.899352401
1724445840,63585.44,63675.04,63484.18,63650,16648559.310769401
1724444940,63672.61,63818.21,63603.54,63712.99,21148373.629632197
1724444040,63745.97,63750,63562.7,63619.74,22268193.912449304
1724443140,63566,63788.98,63482.35,63624.57,50263148.17679999
1724442240,63648.78,63741.12,63510,63598.99,42852851.794610195
1724441340,63700,63819.16,63435.43,63553.35,65100172.169810206
1724440440,63486.99,63561.8,63000.01,63074.39,52952156.2826515
1724439540,63163.98,63408.74,63111.19,63297.93,30047258.939953104
1724438640,63317.58,63411.23,63019.13,63135.98,45654663.90843289
1724437740,63300.01,63358.39,62902.06,63096.59,69194052.78498961
1724436840,62979.88,63265.98,62659.09,63152,97313132.66618098
1724435940,62968.62,63015.99,62236.24,62268,126638923.1293916
1724435040,62247.38,62288,61755.64,61804.22,37181893.676552
1724434140,61799.99,61927.85,61702.9,61822.62,24818429.873029303
1724433240,61710.31,61805.48,61616.02,61728,15605734.148895701
1724432340,61720,61786,61502.79,61564.27,14893022.508660402
1724431440,61610.06,61828.82,61450.85,61503.97,19829968.2646316
1724430540,61485.01,61581.95,61389.23,61543.99,13435210.652632197
1724429640,61599.99,61622.65,61349.99,61461.01,17801270.9046396
1724428740,61547.99,61654.4,61484.38,61578.34,21659710.1700958
1724427840,61674.11,61778.76,61361.01,61438.83,38542758.762793
1724426940,61414.45,61488,61264.92,61362,33739925.853111796
1724426040,61192.25,61430.77,60916.41,60960,53691238.286917
1724425140,60981.97,61663.64,60802.36,61618.34,91380836.7157559
1724424240,61634.88,61952.28,61521.53,61862.91,49046290.278766
1724423340,61958.52,62320.36,61400,62121.7,156925677.8406065
1724422440,62007.87,62113,61119.99,61343.99,158665402.5545753
1724421540,61046.79,61123.05,60941.13,60987.82,23476404.6823365
1724420640,60993.07,61175.6,60881.34,61058.8,15968170.049904002
1724419740,61083.51,61121.36,60982.85,61023.13,9662187.3638508
1724418840,60997.19,61158.47,60988.2,61110.7,16262208.367954502
1724417940,61157.89,61217.39,60929,60936.85,22511315.383927897
1724417040,60975.94,60975.95,60850.8,60882.04,10158890.1411946
1724416140,60860.09,60900,60804.63,60822.7,6354960.6460271
1724415240,60832.32,60876.36,60741.68,60770.53,6730361.291185699
1724414340,60729.14,60825.64,60691.11,60791.52,7011086.117937201
1724413440,60765.05,60858.21,60700,60836.67,8588340.2401126
1724412540,60836.66,60914.41,60734.87,60846,9941903.2555481
1724411640,60867,61079.04,60746.35,61057.96,20331149.574884098
1724410740,61084.01,61150,61060.75,61148.04,4829032.3202633
1724409840,61110,61166.01,61068.39,61092.03,4336602.0587277
1724408940,61079.98,61083.72,61049.76,61056.01,3400748.6475636996
1724408040,61060.26,61141.69,61007.17,61032.36,10159147.436888302
1724407140,61064.59,61137.38,61003,61128.21,12661114.848639501
1724406240,61111.98,61309.75,61088.43,61295.12,9466549.7842594
1724405340,61247.44,61308.77,61202.37,61299.99,6869275.757329
1724404440,61248.7,61337.57,61246.45,61291.49,7311915.2419566
1724403540,61304.99,61322.66,61180.01,61221,9425710.5622925
1724402640,61175.95,61224.76,61153.73,61198.3,8634515.8845549
1724401740,61213.25,61250,61136.41,61136.41,8598804.763980698
1724400840,61148.01,61148.01,61036.84,61040.01,9691288.698592601
1724399940,61075.34,61117.99,60937.97,61056.87,9375352.661039399
1724399040,61045.38,61095.96,61039.75,61044.86,8620123.9480426
1724398140,61087.36,61161.56,61024.57,61156.43,7549474.6755808005
1724397240,61129.61,61259.93,61106.82,61216,11747455.8591919
1724396340,61172,61367.74,60921.09,60946.66,34814742.2430624
1724395440,60921.08,60934.36,60838.48,60881.18,8439423.526400499
1724394540,60881.63,60946.67,60862.08,60922.31,3258617.6676318995
1724393640,60916.97,61000,60832.27,60859.98,12343170.2734373
1724392740,60825.65,60910,60825.64,60865.03,6609721.203694699
1724391840,60836.3,61067.56,60820.52,61058.01,14091857.4103046
1724390940,61003.99,61089.6,60880.85,60929.6,14938787.437285502
1724390040,60870.01,60980,60707.51,60777.5,14654167.744543102
1724389140,60678.5,60707.52,60630.61,60633.55,7612328.861803599
1724388240,60641.92,60721.21,60635.08,60700,3946090.8706895
1724387340,60720,60742.85,60617.32,60628.95,12460052.0363133
1724386440,60631.1,60650,60582.68,60600,8594355.2321113
1724385540,60596.96,60609.75,60572.94,60582.06,5798941.4665409
1724384640,60594.14,60620,60574.27,60576.51,3619187.3374293004
1724383740,60601.86,60689.4,60597.67,60681.61,5401849.459647499
1724382840,60659.63,60687.76,60610.6,60620.47,7348232.086951801
1724381940,60618.01,60736,60618,60735.99,6530243.7752377
1724381040,60744.91,60768.62,60699.59,60756.34,12355050.793399598
1724380140,60752.2,60794.74,60682.99,60742.57,5527992.078617101
1724379240,60792,60806.74,60712.84,60756.01,6132659.431858102
1724378340,60780.62,60825.64,60739.65,60756,6331854.9166536005
1724377440,60728.26,60744,60603.99,60681.59,7154192.079407101
1724376540,60727.99,60854,60686,60768.01,8072194.400150799
1724375640,60826.21,60855.77,60721,60756,8280082.785279401
1724374740,60740.98,60855.9,60718.93,60850,9729084.923982099
1724373840,60858.19,60968.24,60600.23,60644.07,19234728.5826045
1724372940,60656,60692.14,60497.98,60541.57,11904787.6794036
1724372040,60502.53,60557.34,60342.14,60361.37,8856207.350598702
1724371140,60361.01,60414.26,60361,60386.84,2600836.6481875
1724370240,60386.77,60462.56,60380,60432,3253439.6674387003
1724369340,60424,60425.43,60350.51,60374.03,4693710.186684701
1724368440,60368.43,60435.05,60297.5,60418.76,7902805.6816837005
1724367540,60427.4,60476,60426.49,60463.99,2981705.3954769
1724366640,60455.51,60528,60445,60506,3191009.1296103997
1724365740,60518.01,60539.84,60400,60499.73,6524421.5512432
1724364840,60518.23,60609.8,60512.77,60528.01,6905069.300321399
1724363940,60557.1,60596.94,60523.33,60589.34,4207654.2911708
1724363040,60599.99,60629.93,60544.23,60573.84,3217162.9004950994
1724362140,60571.97,60628.56,60439.78,60509.21,9224420.451897202
1724361240,60516.01,60707.88,60516,60622,6878787.5030076
1724360340,60615.63,60691.2,60369.99,60395.87,18432342.770755
1724359440,60354.19,60412,60354.19,60402.05,3165921.9993941
1724358540,60371.79,60410.51,60305.44,60336.5,4944134.286278901
1724357640,60418,60550.01,60288,60292,23286079.3765383
1724356740,60320.55,60439.11,60248,60294,9935770.0805873
1724355840,60312.01,60397.71,60154.78,60232,11688081.126991998
1724354940,60236,60355.14,60203.12,60317.17,11096110.0041961
1724354040,60380,60402.06,60300,60345.36,5875399.902197199
1724353140,60300,60566.51,60292.42,60528.35,7400786.343725999
1724352240,60526.79,60549.51,60433.87,60482.33,4304321.4767154
1724351340,60474.67,60554.34,60340.02,60408.01,10757531.1024901
1724350440,60260.45,60346.88,60131,60131.01,14355111.689162798
1724349540,60164.7,60394,60142.85,60355.06,10613907.396986298
1724348640,60388,60483.37,60275,60476,7679703.738834401
1724347740,60483.36,60512.01,60360.74,60392.5,7472958.666892399
1724346840,60360.74,60470.83,60240.01,60300,11807003.1746802
1724345940,60315.99,60574.23,60291,60517.72,11395847.3602269
1724345040,60542,60600.2,60464.45,60524.14,12113681.1774264
1724344140,60473.99,60510,60281.02,60311.46,11360017.277395202
1724343240,60321.5,60466.66,60289.58,60382,12942870.4254237
1724342340,60394,60452,60100,60154.56,26786390.1493701
1724341440,60159.15,60479.99,60115.88,60446,33289614.764684506
1724340540,60492.32,60700.56,60384.63,60640,13712433.8573793
1724339640,60650.89,60833,60503.07,60526.51,19188151.8122019
1724338740,60532.54,60602.05,60300,60560.09,25525467.884307798
1724337840,60543.99,60657.03,60400,60585.02,21864350.0132874
1724336940,60567.98,60695.99,60500.01,60531.07,16089819.769903999
1724336040,60557.99,60854.28,60395.8,60798,42894413.36012921
1724335140,60862.58,60915.39,60394.64,60578.78,46314712.5030722
1724334240,60621.87,60934.03,60588.63,60905.37,32182093.742595803
1724333340,60854.36,60883.22,60719.99,60746.01,11418748.682110399
1724332440,60775.69,60924.99,60649.91,60871.89,17433281.6135066
1724331540,60867.01,60975.54,60775.94,60810.37,15758868.004788801
1724330640,60864.12,61322.33,60772.12,61302.96,60864788.75983919
1724329740,61231.93,61269.33,61092.11,61182.44,15877168.226028001
1724328840,61192.89,61398.18,61190.01,61350,16389751.560728502
1724327940,61328.23,61382.24,61219.12,61238.31,16505400.8584653
1724327040,61239.99,61320,61162.67,61260.87,10258119.9766068
1724326140,61240,61297.63,61160.98,61245.99,17057960.223833602
1724325240,61221.38,61377.71,61097.59,61333.88,17968458.1320504
1724324340,61370.25,61400,61218.97,61229.22,20212259.866240796
1724323440,61224.94,61278.76,61050.06,61057.99,13471928.531198302
1724322540,61059.88,61090,60928.12,60942.01,9085757.3415903
1724321640,60910.23,60940.74,60827.12,60896.99,6648586.739271199
1724320740,60894,60930.01,60829.85,60892.5,10963311.5709055
1724319840,60887.61,60976.32,60863.55,60950,7746887.0672073
1724318940,60940,60955,60802.38,60849.99,8072682.7999698
1724318040,60873.47,60955,60850,60938.99,6214695.226906401
1724317140,60953.99,61003.21,60894.65,60944.43,8622956.0372538
1724316240,60985.97,61112,60932.55,61014,11618369.8603069
1724315340,60988.25,61070.8,60862.15,60883.99,9079948.5871094
1724314440,60861.01,61032.18,60859.79,60991.22,15854820.122558098
1724313540,60981.7,61114.23,60812,60839.99,22502077.570815
1724312640,60836.17,60850,60735.99,60780.01,7016907.3594185
1724311740,60771.25,60825.66,60714.05,60810.53,11659649.0681842
1724310840,60724,60825.65,60708.69,60766.55,5152066.249369901
1724309940,60758,60825.65,60720.3,60760,5440691.388912301
1724309040,60730.12,60803.93,60708.33,60770.88,6934201.759401399
