2026-02-15T21:27:47.122Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Rynek jest w fazie RANGING, brak wyraźnych sygnałów z ensemble oraz wskaźników. MTF bias wskazuje BEARISH, ale brak aktywnych sygnałów SELL. RSI jest neutralne (51.6). Nie ma wystarczających przesłanek do otwarcia pozycji.
2026-02-16T00:05:12.306Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime RANGING, MTF bias BEARISH with strong negative score (-83), and ensemble votes predominantly HOLD (85.5%). No clear signal to open a position.
2026-02-16T00:10:18.898Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Rynek jest w stanie RANGING, a MTF bias wskazuje na silną BEARISH tendencję (-73), jednak ensemble votes są zdominowane przez HOLD (85.5%). RSI na poziomie 62.2 nie wskazuje na wyraźne wyprzedanie ani wykupienie. Brak konsensusu na otwarcie pozycji.
2026-02-16T00:15:25.029Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF BIAS wskazuje na BEARISH z wysokim negatywnym score (-71), ale ensemble votes są sprzeczne z BUY na poziomie 29.1% i dominującym HOLD (70.9%). RSI na poziomie 65.2 nie wskazuje na wyraźne wyprzedanie lub wykupienie. Brak konsensusu oraz brak silnego sygnału do SHORT w obecnym stanie.
2026-02-16T00:20:30.180Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with bearish bias (-73 score). Ensemble votes are conflicting, with HOLD dominating at 56.4%. RSI indicates neutral momentum (61.7), and no strong directional signal is present. Current drawdown is 0%, so no urgency to act.
2026-02-16T00:25:35.794Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING, MTF bias is strongly bearish (-83), and ensemble votes are inconclusive with mixed signals (BUY 29.1%, SELL 26.8%, HOLD 44.1%). No strong consensus or alignment with my criteria to open a position.
2026-02-16T00:30:11.921Z | HOLD | conf=0.95 | src=NEURON_AI_LLM | override=no | reason=Regime jest RANGING, MTF bias wskazuje na BEARISH z silnym negatywnym score (-83), ale ensemble votes są w większości na HOLD (85.5%). RSI jest neutralne (52.8), a sygnały nie dają wystarczającej pewności do otwarcia pozycji. Nie ma presji na otwarcie SHORT przy tak niskim SELL vote (14.5%).
2026-02-16T00:35:17.858Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with a bearish bias (-73 score), but ensemble votes are inconclusive with majority HOLD (56.4%). RSI is neutral at 55.7, and no clear signal aligns with shorting. Current drawdown is 0%, allowing for a conservative approach.
2026-02-16T00:40:23.614Z | HOLD | conf=0.85 | src=NEURON_AI_LLM | override=no | reason=Regime is RANGING with a bearish bias and MTF score is strongly negative (-83). Ensemble votes are inconclusive with a majority HOLD recommendation. RSI is neutral at 54.3, and there is no clear signal for a high-confidence trade. Drawdown is 0%, so no urgency to act.
2026-02-16T00:45:26.516Z | SELL | conf=0.76 | src=NEURON_AI_FALLBACK | override=no | reason=Ja, Neuron AI, otwieram SHORT -- MTF BEARISH score=83, ML SELL conf=85%
2026-02-16T00:46:59.511Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T00:48:32.322Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T00:50:05.395Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T00:51:38.548Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T00:53:11.639Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T00:54:44.432Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T00:56:17.556Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T00:57:50.567Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T00:59:23.900Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:00:26.159Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:01:59.331Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:03:32.486Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:05:05.558Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:06:38.197Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:08:10.713Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:09:43.998Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:11:17.025Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:12:50.201Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:14:23.720Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:15:25.907Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:16:59.376Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:18:32.402Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:20:05.202Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:21:38.528Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:23:10.762Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:24:43.566Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:26:16.415Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:27:49.681Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:29:22.563Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:30:24.656Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:31:57.749Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:33:30.839Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:35:03.995Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:36:37.096Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:38:10.111Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:39:42.730Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:41:15.280Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:42:48.027Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:44:21.255Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T01:45:23.095Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:46:55.557Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:48:28.391Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:50:01.478Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:51:34.630Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:53:07.905Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:54:40.985Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:56:14.348Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:57:47.427Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T01:59:20.819Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:00:22.913Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:01:55.432Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:03:28.282Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:05:01.002Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:06:33.874Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:08:06.983Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:09:40.041Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:11:12.863Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:12:45.604Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:14:24.308Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:15:26.535Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:16:59.889Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:18:33.328Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:20:06.594Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:21:39.868Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:23:12.995Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T02:24:45.715Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:26:18.268Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T02:27:50.711Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:29:23.693Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Fallback: insufficient conviction
2026-02-16T02:30:25.888Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:31:58.943Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:33:31.906Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:35:04.560Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:36:37.370Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:38:10.535Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:39:43.407Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:41:16.492Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:42:49.549Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:44:23.212Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:45:25.395Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:46:58.444Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:48:30.790Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:50:03.451Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:51:35.868Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:53:08.468Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:54:41.297Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:56:14.411Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:57:47.645Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T02:59:20.629Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:00:22.751Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:01:55.336Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:03:28.176Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:05:01.259Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:06:34.399Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:08:07.184Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:09:39.669Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:11:12.792Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:12:45.691Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:14:18.940Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:15:21.120Z | HOLD | conf=0.30 | src=NEURON_AI_FALLBACK | override=no | reason=Position already open, monitoring
2026-02-16T03:16:14.213Z | SELL | conf=0.68 | src=NEURON_AI_FALLBACK | override=no | reason=Ja, Neuron AI, otwieram SHORT -- MTF BEARISH score=88, ML SELL conf=72% | Positions: 1/5
2026-02-16T03:21:17.628Z | SELL | conf=0.90 | src=NEURON_AI_FALLBACK | override=no | reason=Ja, Neuron AI, otwieram SHORT -- MTF BEARISH score=88, ML SELL conf=95% | Positions: 0/5
2026-02-16T03:22:19.434Z | SELL | conf=0.87 | src=NEURON_AI_FALLBACK | override=no | reason=Ja, Neuron AI, otwieram SHORT -- MTF BEARISH score=88, ML SELL conf=92% | Positions: 1/5
2026-02-16T03:26:22.273Z | SELL | conf=0.58 | src=NEURON_AI_FALLBACK | override=no | reason=Ja, Neuron AI, otwieram SHORT -- MTF BEARISH score=89, ML SELL conf=95% | Positions: 0/5
2026-02-16T03:26:53.818Z | SELL | conf=0.58 | src=NEURON_AI_FALLBACK | override=no | reason=Ja, Neuron AI, otwieram SHORT -- MTF BEARISH score=90, ML SELL conf=100% | Positions: 1/5
2026-02-16T03:30:26.216Z | SELL | conf=0.58 | src=NEURON_AI_FALLBACK | override=no | reason=Ja, Neuron AI, otwieram SHORT -- MTF BEARISH score=89, ML SELL conf=95% | Positions: 0/5
